user.index,decision.index.nogap,datetime,date,sugg.select.utime,sugg.select.slot,is.randomized,avail,send,send.active,send.sedentary,returned.message,sugg.response.utime,response,recognized.activity,location_group,dec.location.category,dec.weather.condition,dec.temperature,jbsteps30,jbsteps30pre
1,0.0,2015-07-22 16:30:00,2015-07-22,2015-07-22 16:30:00,2,True,True,True,False,True,Hows your energy level this afternoon A 1015 minute walk can enliven your body,2015-07-22 16:56:35,good,STILL,Food & Dining,"restaurant,meal_takeaway,food,point_of_interest,establishment",Partly Cloudy,23.3,1311.0,0.0
1,1.0,2015-07-22 18:30:00,2015-07-22,2015-07-22 18:30:00,3,True,True,True,True,False,Its almost the end of the workday How about a refreshing walk to help you power through the last few hours,2015-07-22 18:32:38,good,STILL,Work,work,Partly Cloudy,24.4,414.0,418.0
1,2.0,2015-07-22 21:30:00,2015-07-22,2015-07-22 21:30:00,4,False,True,False,False,False,donotnotify,,,STILL,Home,home,Mostly Cloudy,25.8,341.0,261.0
1,3.0,2015-07-22 23:30:00,2015-07-22,2015-07-22 23:30:00,5,True,True,True,False,True,Quick look at the clock If the minute ends in an odd number try to remain standing for the next 5 minutes,,,STILL,Home,home,Partly Cloudy,25.7,369.0,2913.0
1,4.0,2015-07-23 09:30:00,2015-07-23,2015-07-23 09:30:00,1,False,True,False,False,False,donotnotify,,,STILL,Home,home,Clear,11.3,0.0,0.0
1,5.0,2015-07-23 16:30:00,2015-07-23,2015-07-23 16:30:00,2,True,True,True,False,True,Hey you Have you been sitting for a while Can you take a 5 minute walking break,2015-07-23 16:34:29,bad,STILL,Home,home,Partly Cloudy,26.6,893.0,1168.0
1,6.0,2015-07-23 18:30:00,2015-07-23,2015-07-23 18:30:00,3,True,True,True,True,False,How about taking a few minutes to enjoy nature Head outside walk until you see a wild animal even if its just a squirrel,2015-07-23 18:32:45,good,STILL,Home,home,Partly Cloudy,27.5,589.0,659.0
1,7.0,2015-07-23 21:30:00,2015-07-23,2015-07-23 21:30:00,4,True,True,True,True,False,Its a lovely evening Why not embrace the calm with a walk outside,2015-07-23 21:42:32,bad,STILL,Home,home,Partly Cloudy,32.7,899.0,2415.0
1,8.0,2015-07-23 23:30:00,2015-07-23,2015-07-23 23:30:00,5,False,True,False,False,False,donotnotify,,,STILL,Home,home,Partly Cloudy,27.5,386.0,43.0
1,9.0,2015-07-24 09:30:00,2015-07-24,2015-07-24 09:30:00,1,False,True,False,False,False,donotnotify,,,STILL,Home,home,Clear,16.3,0.0,0.0
1,10.0,2015-07-24 16:30:00,2015-07-24,2015-07-24 16:30:00,2,True,True,True,False,True,Pamper your body a bit Try standing up and stretching your legs arms and neck Feels good doesnt it,2015-07-24 16:33:50,good,STILL,Home,home,Clear,28.9,279.0,470.0
1,11.0,2015-07-24 18:30:00,2015-07-24,2015-07-24 18:30:00,3,True,True,True,False,True,Pamper your body a bit Try standing up and stretching your legs arms and neck Feels good doesnt it,2015-07-24 18:32:21,good,STILL,Home,home,Clear,30.2,415.0,206.0
1,12.0,2015-07-24 21:30:00,2015-07-24,2015-07-24 21:30:00,4,True,True,True,True,False,Have you been sitting all day If you can try not to sit all night too Maybe tackle some active housework like cooking or vacuuming,2015-07-24 22:01:43,no_response,STILL,Home,home,Clear,30.7,1310.0,930.0
1,13.0,2015-07-24 23:30:00,2015-07-24,2015-07-24 23:30:00,5,False,True,False,False,False,donotnotify,,,STILL,Home,home,Clear,32.1,447.0,1326.0
1,14.0,2015-07-25 09:30:00,2015-07-25,2015-07-25 09:30:00,1,True,True,True,True,False,How can you be active this weekend How about trying out a new sport or checking out the farmers market,2015-07-25 09:52:42,bad,STILL,Home,home,Clear,16.0,0.0,0.0
1,15.0,2015-07-25 16:30:00,2015-07-25,2015-07-25 16:30:00,2,True,True,True,True,False,Remember to spend time with friends loved ones who might want to join you for a walk right now,2015-07-25 16:47:18,good,STILL,Auto & Transport - Outdoor Low-Activity,"gas_station,convenience_store,food,store,point_of_interest,establishment",Partly Cloudy,28.1,82.0,55.0
1,16.0,2015-07-25 18:30:00,2015-07-25,2015-07-25 18:30:00,3,True,True,True,True,False,What can you do to increase your activity level right now Stand up Stretch Take a walk Go for a run,2015-07-25 19:01:57,no_response,UNKNOWN,Clothing & Fashion Store,"jewelry_store,store,point_of_interest,establishment",Partly Cloudy,30.1,585.0,1270.0
1,17.0,2015-07-25 21:30:00,2015-07-25,2015-07-25 21:30:00,4,False,True,False,False,False,donotnotify,,,STILL,Home,home,Partly Cloudy,30.5,520.0,245.0
1,18.0,2015-07-25 23:30:00,2015-07-25,2015-07-25 23:30:00,5,True,False,False,False,False,donotnotify,,,IN_VEHICLE,Auto & Transport - Outdoor Low-Activity,"convenience_store,liquor_store,food,store,gas_station,point_of_interest,establishment",Clear,29.4,129.0,353.0
1,19.0,2015-07-26 09:30:00,2015-07-26,2015-07-26 09:30:00,1,True,True,True,True,False,If you take a brisk walk now how will you feel for the rest of the day Spoiler alert More energized,2015-07-26 09:48:17,bad,STILL,Home,home,Partly Cloudy,16.3,0.0,0.0
