column,n_cells,zero_cells,cond_entropy,max_entropy,declared_forbidden,auto_flagged,leakage_suspect
weekday,21,0,1.51,1.585,False,False,False
hour_sin,12,0,1.509,1.585,False,False,False
hour_cos,12,0,1.509,1.585,False,False,False
weather,9,0,1.51,1.585,False,False,False
temp,18,0,1.51,1.585,False,False,False
loc,18,0,1.5,1.585,False,False,False
steps30pre,9,0,1.506,1.585,False,False,False
dosage,12,0,1.51,1.585,False,False,False
response,18,8,0.506,1.585,True,False,True
returned.message,762,508,0.0,1.585,True,True,True
steps10,6,0,1.507,1.585,True,False,True
steps30,9,0,1.508,1.585,True,False,True
intransit,6,0,1.375,1.585,True,False,True
snooze.status,6,2,1.505,1.585,True,False,True
